Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB (moq 5)","The Main Board",5,4.00,"https://jlcpcb.com/","jlcpcb"
"Blinky Board Kit","Shipped to you - kit project",1,10.00,"-","Hack Club"
